 Supplementary Table 1. Detailed information of the maize inbred lines used in this study					
Sample ID	Inbred line name	Breeding era	Origin	 Subgroup	Heterotic group
128	ly5502	II	Gansu,China	PB	PB
129	ly6601	II	Gansu,China	Zi330	NSS
130	ly6206	II	Gansu,China	Admix	Admix
131	ly5405	II	Gansu,China	PB	PB
132	ly6101	II	Gansu,China	Admix	Admix
133	LongM0302	II	Gansu,China	Admix	Admix
134	ly5715	II	Gansu,China	Lancaster 1	NSS
135	ly6201	II	Gansu,China	Admix	Admix
136	802	II	Henan,China	PA 2	PA
137	6107A-2	II	Henan,China	SPT 2	SPT
138	521	II	Shandong,China	Admix	Admix
139	Zi5-2	II	Gansu,China	SPT 1	SPT
140	XF8-3	II	Gansu,China	Admix	Admix
141	Z05013	II	Gansu,China	Admix	Admix
142	XF063	II	Gansu,China	Amargo	SS
143	Zi5-3	II	Gansu,China	Admix	Admix
144	Z350	II	Gansu,China	Admix	Admix
145	LK58-8	II	Gansu,China	PB	PB
146	F83	II	Gansu,China	Lancaster 2	NSS
147	WC009	II	Beijing,China	Lancaster 1	NSS
148	S747	II	Jilin,China	Zi330	NSS
149	LY2209	II	Gansu,China	Zi330	NSS
150	ly0996	II	Gansu,China	1odent	Iodent
151	Sheng68	II	Henan,China	PA 2	PA
152	Sheng62	II	Henan,China	SPT 2	SPT
153	6300	II	Gansu,China	PB	PB
154	SX1132-2Rel	II	Shandong,China	Admix	Admix
155	SX3821	II	Shandong,China	SPT 1	SPT
156	SX3821Rel	II	Shandong,China	SPT 1	SPT
157	LongF1006	II	Gansu,China	Admix	Admix
158	LongF1011	II	Gansu,China	PB	PB
159	LongF1205	II	Gansu,China	Admix	Admix
160	LongF0301	II	Gansu,China	1odent	Iodent
161	ly5401	II	Gansu,China	Admix	Admix
162	LongF0202	II	Gansu,China	SPT 2	SPT
163	LongF2224	II	Gansu,China	PB	PB
164	ly2310	II	Gansu,China	PB	PB
165	ly5711	II	Gansu,China	Lancaster 1	NSS
166	LongF0402	II	Gansu,China	Admix	Admix
167	F0903	II	Gansu,China	SPT 2	SPT
168	Ji815	I	Hebei,China	Admix	Admix
169	Ji257	I	Hebei,China	Admix	Admix
170	Q317	II	Hebei,China	Zi330	NSS
171	H446	II	Hebei,China	PA 1	PA
172	Jizi14L145	II	Hebei,China	PA 1	PA
173	Jizi14W352	II	Hebei,China	PB	PB
174	L98	II	Hebei,China	PA 2	PA
175	H81	II	Hebei,China	SPT 2	SPT
176	H58	II	Hebei,China	PA 2	PA
177	Jizi147048	II	Hebei,China	PA 2	PA
178	HH4	II	Hebei,China	SPT 2	SPT
179	H599a	II	Hebei,China	PA 1	PA
180	JiziB154	II	Hebei,China	SPT 2	SPT
181	JiziA150	II	Hebei,China	1odent	Iodent
182	Jizi13L377	II	Hebei,China	PA 2	PA
183	214CTS	II	Hebei,China	PA 1	PA
184	Jizi13L348	II	Hebei,China	PA 2	PA
185	JiSX32T29	II	Hebei,China	1odent	Iodent
186	W-25	II	Hebei,China	PA 1	PA
187	Jizi5164	II	Hebei,China	PA 2	PA
188	x302	II	Hebei,China	Amargo	SS
189	B17	II	Hebei,China	SPT 2	SPT
190	Chang98	II	Hebei,China	SPT 2	SPT
191	JiziC32	II	Hebei,China	Admix	Admix
192	Jizi13L115	II	Hebei,China	PA 2	PA
193	Jizi14L126	II	Hebei,China	Admix	Admix
194	X47B	II	Hebei,China	Amargo	SS
195	Jizi13W142	II	Hebei,China	PA 2	PA
196	JiziA199	II	Hebei,China	1odent	Iodent
197	Jizi4658	II	Hebei,China	PA 2	PA
198	Jizi14W108	II	Hebei,China	PA 2	PA
199	16NB69	II	Hebei,China	Admix	Admix
200	16NS545	II	Hebei,China	1odent	Iodent
201	32T24	II	Hebei,China	1odent	Iodent
202	47B-10	II	Hebei,China	Amargo	SS
203	47B-9	II	Hebei,China	Amargo	SS
204	P28	II	Hebei,China	PA 2	PA
205	P6066	II	Hebei,China	Admix	Admix
206	R107	II	Hebei,China	SPT 2	SPT
207	W648	II	Hebei,China	PA 2	PA
208	Xun92-8	I	Henan,China	SPT 2	SPT
209	Xun9058	I	Henan,China	PA 1	PA
210	Zheng561	II	Henan,China	Amargo	SS
211	Zheng600	II	Henan,China	PA 2	PA
212	Zheng602	II	Henan,China	Admix	Admix
213	Zheng603	II	Henan,China	PA 2	PA
214	Zheng511	II	Henan,China	Admix	Admix
215	Zheng538	II	Henan,China	Admix	Admix
216	Zheng578	II	Henan,China	SPT 2	SPT
217	Zheng591	II	Henan,China	PA 2	PA
218	Zheng592	II	Henan,China	PA 2	PA
219	Zheng593	II	Henan,China	PA 2	PA
220	5N1202	II	Henan,China	Admix	Admix
221	5N1203	II	Henan,China	Admix	Admix
222	5N1207	II	Henan,China	Admix	Admix
223	5N1208	II	Henan,China	Admix	Admix
224	5N1209	II	Henan,China	PA 2	PA
225	5N1210	II	Henan,China	PA 2	PA
226	5N1211	II	Henan,China	PA 2	PA
227	5N545	II	Henan,China	Admix	Admix
228	5N548	II	Henan,China	Admix	Admix
229	5N65	II	Henan,China	PA 2	PA
230	5N74	II	Henan,China	SPT 2	SPT
231	5N76	II	Henan,China	Admix	Admix
232	5N78	II	Henan,China	SPT 2	SPT
233	5N79	II	Henan,China	PA 2	PA
234	6NH372	II	Henan,China	PA 2	PA
235	6NH392	II	Henan,China	Admix	Admix
236	6NH402	II	Henan,China	Admix	Admix
237	6NH625	II	Henan,China	Admix	Admix
238	6NH637	II	Henan,China	PA 2	PA
239	6NH649	II	Henan,China	1odent	Iodent
240	6NH671	II	Henan,China	Admix	Admix
241	6NH677	II	Henan,China	Admix	Admix
242	6NH687	II	Henan,China	Admix	Admix
243	6NH717	II	Henan,China	PA 2	PA
244	6NH737	II	Henan,China	Admix	Admix
245	6NH761	II	Henan,China	PA 2	PA
246	6NH769	II	Henan,China	PA 2	PA
247	6NH779	II	Henan,China	PA 2	PA
248	6NH786	II	Henan,China	Admix	Admix
249	6NH798	II	Henan,China	Admix	Admix
250	6NH808	II	Henan,China	Admix	Admix
251	Xun5872	II	Henan,China	PA 1	PA
252	Xun248	I	Henan,China	PA 1	PA
253	Xun313	II	Henan,China	PA 1	PA
254	L58673-1-1	II	Henan,China	PA 1	PA
255	ZK02-1	I	Henan,China	SPT 2	SPT
256	ZhengA88	II	Henan,China	PA 1	PA
257	ZhengT22	II	Henan,China	SPT 2	SPT
258	Zhu07	I	Henan,China	PA 2	PA
259	Luo1223	II	Henan,China	SPT 2	SPT
260	ZhengA118	II	Henan,China	Admix	Admix
261	A1393	II	Henan,China	SPT 2	SPT
262	Zheng2312	II	Henan,China	Admix	Admix
263	Z0108	II	Henan,China	Admix	Admix
264	Zheng1358	II	Henan,China	PA 2	PA
265	Zheng8058	II	Henan,China	Admix	Admix
266	Zheng8148	II	Henan,China	Admix	Admix
267	ZhengX959	II	Henan,China	Amargo	SS
268	Xiongzhang	I	Heilongjiang,China	Lancaster 2	NSS
269	901106-7	I	Heilongjiang,China	Lancaster 1	NSS
270	An441A	I	Heilongjiang,China	Lancaster 2	NSS
271	8941	I	Heilongjiang,China	Lancaster 2	NSS
272	H172	II	Heilongjiang,China	Admix	Admix
273	H050	II	Heilongjiang,China	Admix	Admix
274	Dong8112	I	Heilongjiang,China	Lancaster 2	NSS
275	Dong62072	II	Heilongjiang,China	SPT 2	SPT
276	Dong58-1	II	Heilongjiang,China	PA 2	PA
277	DN139	II	Heilongjiang,China	SPT 1	SPT
278	DN1722	II	Heilongjiang,China	Lancaster 1	NSS
279	Nan5	I	Heilongjiang,China	Lancaster 2	NSS
280	Dongbeihu	I	Heilongjiang,China	Lancaster 1	NSS
281	Hexuan18	II	Heilongjiang,China	Lancaster 1	NSS
282	W9813	II	Heilongjiang,China	1odent	Iodent
283	HR30	I	Heilongjiang,China	Lancaster 1	NSS
284	KL613	II	Heilongjiang,China	Lancaster 1	NSS
285	KL632	II	Heilongjiang,China	1odent	Iodent
286	KL45	II	Heilongjiang,China	Admix	Admix
287	T116	I	Heilongjiang,China	Lancaster 1	NSS
288	Lv951	I	Heilongjiang,China	SPT 1	SPT
289	Lv983	II	Heilongjiang,China	Admix	Admix
290	Suixi604	I	Heilongjiang,China	Lancaster 1	NSS
291	Suixi703	I	Heilongjiang,China	Lancaster 1	NSS
292	Suixi603	I	Heilongjiang,China	Lancaster 2	NSS
293	Suixi606	I	Heilongjiang,China	Lancaster 2	NSS
294	Suixi706	II	Heilongjiang,China	Lancaster 2	NSS
295	Suixi707	II	Heilongjiang,China	Zi330	NSS
296	Suixi608	II	Heilongjiang,China	Amargo	SS
297	Suixi708	II	Heilongjiang,China	Amargo	SS
298	Suixi709	II	Heilongjiang,China	Lancaster 1	NSS
299	Suixi609	II	Heilongjiang,China	Admix	Admix
300	Suixi613	II	Heilongjiang,China	Zi330	NSS
301	833	II	Heilongjiang,China	PB	PB
302	8638	II	Heilongjiang,China	Admix	Admix
303	T23717	II	Heilongjiang,China	Lancaster 2	NSS
304	T5588	II	Heilongjiang,China	Admix	Admix
305	DN003	II	Heilongjiang,China	1odent	Iodent
306	DN4402	II	Heilongjiang,China	SPT 1	SPT
307	DN444	II	Heilongjiang,China	Admix	Admix
308	DN6217	II	Heilongjiang,China	Admix	Admix
309	Jia6	II	Heilongjiang,China	Zi330	NSS
310	FZ11	II	Heilongjiang,China	Admix	Admix
311	FZ32	II	Heilongjiang,China	Admix	Admix
312	FZ30	II	Heilongjiang,China	Admix	Admix
313	T5553	II	Heilongjiang,China	Admix	Admix
314	Hexi15-17	II	Heilongjiang,China	PA 1	PA
315	Hexi15-2	II	Heilongjiang,China	Lancaster 1	NSS
316	Hexi15-9	II	Heilongjiang,China	Lancaster 2	NSS
317	T34905	II	Heilongjiang,China	PA 2	PA
318	T34907	II	Heilongjiang,China	PA 2	PA
319	T5107	II	Heilongjiang,China	Zi330	NSS
320	T5195	II	Heilongjiang,China	Zi330	NSS
321	T33114	II	Heilongjiang,China	Admix	Admix
322	T33117	II	Heilongjiang,China	Admix	Admix
323	T33118	II	Heilongjiang,China	Admix	Admix
324	L378	II	Heilongjiang,China	Admix	Admix
325	T5853	II	Heilongjiang,China	Lancaster 2	NSS
326	Suixi610	II	Heilongjiang,China	Admix	Admix
327	Suixi616	II	Heilongjiang,China	1odent	Iodent
328	T33336	II	Heilongjiang,China	PA 1	PA
329	T5551	II	Heilongjiang,China	1odent	Iodent
330	T7114	II	Heilongjiang,China	Amargo	SS
331	T24087	II	Heilongjiang,China	Admix	Admix
332	T24139	II	Heilongjiang,China	BSSS	SS
333	T33362	II	Heilongjiang,China	Zi330	NSS
334	T24223	II	Heilongjiang,China	Admix	Admix
335	T24225	II	Heilongjiang,China	Admix	Admix
336	T23930	II	Heilongjiang,China	Lancaster 2	NSS
337	HA667	II	Heilongjiang,China	PA 2	PA
338	HB280	II	Heilongjiang,China	1odent	Iodent
339	HB3	II	Heilongjiang,China	Admix	Admix
