 Supplementary Table 1. Detailed information of the maize inbred lines used in this study					
Sample ID	Inbred line name	Breeding era	Origin	 Subgroup	Heterotic group
529	Zhongxi09102	II	Jilin,China	SPT 1	SPT
530	JLXH-2	II	Jilin,China	PA 1	PA
531	JLXH-3	II	Jilin,China	Admix	Admix
532	JLXH-4	II	Jilin,China	Lancaster 1	NSS
533	JLXH-16	II	Jilin,China	Admix	Admix
534	JLXH-17	Unknown	Jilin,China	PA 1	PA
535	JLXH-19	Unknown	Jilin,China	Admix	Admix
536	JLXH-10	II	Jilin,China	PA 2	PA
537	JLXH-11	II	Jilin,China	PA 2	PA
538	JLXH-12	II	Jilin,China	PA 2	PA
539	PHP60	II	USA	Admix	Admix
540	PHW51	II	USA	Amargo	SS
541	M67huangrong	I	Liaoning,China	Amargo	SS
542	Dan337	I	Liaoning,China	Admix	Admix
543	Liao2309	I	Liaoning,China	Admix	Admix
544	Shen137	I	Liaoning,China	SPT 1	SPT
545	Tie7922	I	Liaoning,China	PA 1	PA
546	S96	II	Liaoning,China	Admix	Admix
547	C89	II	Liaoning,China	Admix	Admix
548	Dan598whitecob	I	Liaoning,China	PB	PB
549	D26	I	Liaoning,China	PA 1	PA
550	Dan599	I	Liaoning,China	PB	PB
551	G285	II	Liaoning,China	PA 2	PA
552	Liao6082	I	Liaoning,China	PA 1	PA
553	Liao428	II	Liaoning,China	PA 1	PA
554	Liao68	I	Liaoning,China	PB	PB
555	Liao51	I	Liaoning,China	PB	PB
556	Liao8022	II	Liaoning,China	1odent	Iodent
557	Liao106Rel	I	Liaoning,China	Lancaster 2	NSS
558	Liao8821	II	Liaoning,China	PA 1	PA
559	Liao785	I	Liaoning,China	PB	PB
560	Ming2325	I	Liaoning,China	PA 1	PA
561	Liao4545	II	Liaoning,China	PB	PB
562	Shen3265	I	Liaoning,China	SPT 1	SPT
563	Shen3336	I	Liaoning,China	PA 1	PA
564	Shen161	II	Liaoning,China	SPT 2	SPT
565	Tie9010	I	Liaoning,China	Zi330	NSS
566	Tie97085	I	Liaoning,China	Amargo	SS
567	Tie98042	I	Liaoning,China	PB	PB
568	T0203	II	Liaoning,China	Admix	Admix
569	T0278	II	Liaoning,China	Admix	Admix
570	T0759redcob	II	Liaoning,China	Admix	Admix
571	D340	II	Beijing,China	Admix	Admix
572	Liao0513	I	Liaoning,China	Lancaster 1	NSS
573	Liao0526	I	Liaoning,China	PA 1	PA
574	Liao1066	II	Liaoning,China	PA 2	PA
575	Liao436	II	Liaoning,China	Zi330	NSS
576	Liao4191	II	Liaoning,China	PA 1	PA
577	Liao1A407	II	Liaoning,China	Admix	Admix
578	Liao75951	II	Liaoning,China	Zi330	NSS
579	Liao0558	II	Liaoning,China	Admix	Admix
580	Liao0567	II	Liaoning,China	PB	PB
581	Liao0699	II	Liaoning,China	Admix	Admix
582	Liao0692	II	Liaoning,China	SPT 1	SPT
583	Liao3162R	II	Liaoning,China	Amargo	SS
584	218F	II	Liaoning,China	Admix	Admix
585	C8605-2Rel	I	Liaoning,China	PA 1	PA
586	Dan598redcob	II	Liaoning,China	Admix	Admix
587	Liao0369	II	Liaoning,China	PA 1	PA
588	Liao0544	II	Liaoning,China	PA 1	PA
589	Liao0581	II	Liaoning,China	Admix	Admix
590	Liao0619	II	Liaoning,China	Zi330	NSS
591	Liao15-66	II	Liaoning,China	PA 2	PA
592	Liao20358	II	Liaoning,China	PB	PB
593	Liao2235	II	Liaoning,China	Admix	Admix
594	Liao2361	II	Liaoning,China	PA 1	PA
595	Liao2572	II	Liaoning,China	SPT 2	SPT
596	Liao2908	II	Liaoning,China	Admix	Admix
597	Liao3006	II	Liaoning,China	Admix	Admix
598	Liao3044	II	Liaoning,China	Admix	Admix
599	Liao3348	II	Liaoning,China	PA 1	PA
600	Liao5011	II	Liaoning,China	Lancaster 2	NSS
601	Liao5090	II	Liaoning,China	PA 1	PA
602	Liao5114	II	Liaoning,China	PA 1	PA
603	Liao53237	II	Liaoning,China	PA 1	PA
604	Liao6027	II	Liaoning,China	Admix	Admix
605	Liao63024	II	Liaoning,China	PB	PB
606	Liao8160	II	Liaoning,China	PA 1	PA
607	M54Rel	II	Liaoning,China	Zi330	NSS
608	Shen5003	I	Liaoning,China	PA 1	PA
609	Shen501	I	Liaoning,China	Zi330	NSS
610	T0294	II	Liaoning,China	Admix	Admix
611	T98131	II	Liaoning,China	Admix	Admix
612	Zhong106	I	Beijing,China	Lancaster 2	NSS
613	85123	II	Liaoning,China	SPT 2	SPT
614	85498	II	Liaoning,China	Admix	Admix
615	86208	II	Liaoning,China	Admix	Admix
616	86245	II	Liaoning,China	Admix	Admix
617	W382	II	Liaoning,China	PA 1	PA
618	W240	II	Liaoning,China	Admix	Admix
619	CAW4w	II	Liaoning,China	SPT 2	SPT
620	85011	II	Liaoning,China	Admix	Admix
621	XH-1	II	Liaoning,China	PA 1	PA
622	Tie20134	II	Liaoning,China	Admix	Admix
623	Tie0255-1	II	Liaoning,China	Admix	Admix
624	9502	II	Liaoning,China	PB	PB
625	9515	II	Liaoning,China	1odent	Iodent
626	9522	II	Liaoning,China	PB	PB
627	9534	II	Liaoning,China	PB	PB
628	9580	II	Liaoning,China	BSSS	SS
629	9584	II	Liaoning,China	Admix	Admix
630	9626	II	Liaoning,China	SPT 2	SPT
631	CG107	Unknown	Canada	1odent	Iodent
632	CG108	Unknown	Canada	Admix	Admix
633	F665	Unknown	Canada	Admix	Admix
634	TD282	Unknown	Canada	1odent	Iodent
635	TE322	Unknown	Canada	1odent	Iodent
636	TE347	Unknown	Canada	1odent	Iodent
637	TE348	Unknown	Canada	1odent	Iodent
638	TE350	Unknown	Canada	Amargo	SS
639	TE354	Unknown	Canada	1odent	Iodent
640	Dong101	I	Liaoning,China	Lancaster 2	NSS
641	Nan7041-5	I	Sichuan,China	Zi330	NSS
642	Nandd60-0	II	Sichuan,China	Admix	Admix
643	100A	I	Sichuan,China	Admix	Admix
644	P138-183	II	Sichuan,China	Admix	Admix
645	M3401	I	Inner Mongolia,China	Admix	Admix
646	M3401Rel	I	Inner Mongolia,China	Admix	Admix
647	M5168	I	Inner Mongolia,China	PA 1	PA
648	M5168Rel	I	Inner Mongolia,China	PA 1	PA
649	Meng17j07	II	Inner Mongolia,China	PA 1	PA
650	Meng17j20	II	Inner Mongolia,China	Amargo	SS
651	Meng17j29	II	Inner Mongolia,China	Admix	Admix
652	M15044	II	Inner Mongolia,China	Admix	Admix
653	M15131	II	Inner Mongolia,China	PA 1	PA
654	M15202	II	Inner Mongolia,China	Admix	Admix
655	M15208	II	Inner Mongolia,China	PA 1	PA
656	M35094	II	Inner Mongolia,China	Admix	Admix
657	M35119	II	Inner Mongolia,China	PA 1	PA
658	M35124	II	Inner Mongolia,China	PA 1	PA
659	M35161	II	Inner Mongolia,China	PA 1	PA
660	M35170	II	Inner Mongolia,China	Admix	Admix
661	M35208	II	Inner Mongolia,China	Lancaster 2	NSS
662	M35211	II	Inner Mongolia,China	SPT 1	SPT
663	M35234	II	Inner Mongolia,China	PA 2	PA
664	M35276	II	Inner Mongolia,China	Admix	Admix
665	M35358	II	Inner Mongolia,China	Admix	Admix
666	M35457	II	Inner Mongolia,China	Amargo	SS
667	M45088	II	Inner Mongolia,China	PA 1	PA
668	M45172	II	Inner Mongolia,China	PB	PB
669	M45199	II	Inner Mongolia,China	PA 1	PA
670	M45232	II	Inner Mongolia,China	PA 1	PA
671	M45480	II	Inner Mongolia,China	BSSS	SS
672	M45482	II	Inner Mongolia,China	Admix	Admix
673	M45589	II	Inner Mongolia,China	PA 1	PA
674	M02N-23	II	Inner Mongolia,China	Amargo	SS
675	M04si-11	II	Inner Mongolia,China	PA 1	PA
676	M05N142	II	Inner Mongolia,China	Amargo	SS
677	M06-131	II	Inner Mongolia,China	Admix	Admix
678	M06-26	II	Inner Mongolia,China	PA 1	PA
679	M08-347	II	Inner Mongolia,China	PA 1	PA
680	M08N144	II	Inner Mongolia,China	PA 1	PA
681	M08N171	II	Inner Mongolia,China	Amargo	SS
682	M09N041	II	Inner Mongolia,China	SPT 2	SPT
683	M09N142	II	Inner Mongolia,China	PA 2	PA
684	M09N160	II	Inner Mongolia,China	SPT 2	SPT
685	M09N226	II	Inner Mongolia,China	Admix	Admix
686	M6021C546	II	Inner Mongolia,China	Admix	Admix
687	M75	II	Inner Mongolia,China	PB	PB
688	M92478-1	II	Inner Mongolia,China	PA 1	PA
689	M9N165	II	Inner Mongolia,China	PA 1	PA
690	MH341028	II	Inner Mongolia,China	Admix	Admix
691	MISH605	II	Inner Mongolia,China	BSSS	SS
692	MS001	II	Inner Mongolia,China	Amargo	SS
693	MT115-1	II	Inner Mongolia,China	Lancaster 1	NSS
694	MZ-315	II	Inner Mongolia,China	PB	PB
695	M05N32	II	Inner Mongolia,China	Lancaster 1	NSS
696	15BX140	II	Inner Mongolia,China	Admix	Admix
697	15BX83	II	Inner Mongolia,China	Zi330	NSS
698	B07020	II	Inner Mongolia,China	Lancaster 1	NSS
699	B07111	II	Inner Mongolia,China	Admix	Admix
700	B07122	II	Inner Mongolia,China	PA 1	PA
701	B10038	II	Inner Mongolia,China	Amargo	SS
702	Ba08-12	II	Inner Mongolia,China	Admix	Admix
703	lx00-1	II	Shandong,China	PA 2	PA
704	lx03-2	II	Shandong,China	SPT 1	SPT
705	lx03-3	II	Shandong,China	Admix	Admix
706	lx08-8	II	Shandong,China	PB	PB
707	16SD007	II	Shandong,China	Admix	Admix
708	16SD008	II	Shandong,China	Admix	Admix
709	16SD021	II	Shandong,China	Zi330	NSS
710	16SD032	II	Shandong,China	Admix	Admix
711	16SD033	II	Shandong,China	PB	PB
712	16SD034	II	Shandong,China	PB	PB
713	16SD036	II	Shandong,China	PB	PB
714	16SD043	II	Shandong,China	BSSS	SS
715	16SD044	II	Shandong,China	BSSS	SS
716	16SD055	II	Shandong,China	Amargo	SS
717	16SD062	II	Shandong,China	Amargo	SS
718	16SD071	II	Shandong,China	Amargo	SS
719	16SD082	II	Shandong,China	Amargo	SS
720	16SD088	II	Shandong,China	Amargo	SS
721	16SD111	II	Shandong,China	Admix	Admix
722	16SD113	II	Shandong,China	Amargo	SS
723	16SD115	II	Shandong,China	Admix	Admix
724	16SD118	II	Shandong,China	Admix	Admix
725	16SD119	II	Shandong,China	Admix	Admix
726	16SD153	II	Shandong,China	1odent	Iodent
727	16SD159	II	Shandong,China	Amargo	SS
728	16SD166	II	Shandong,China	Admix	Admix
729	16SD179	II	Shandong,China	Admix	Admix
730	SD192	II	USA	1odent	Iodent
731	SD196	II	USA	BSSS	SS
732	SD198	II	USA	BSSS	SS
733	SD202	II	USA	Amargo	SS
734	SD211	II	USA	BSSS	SS
735	SD224	II	Jilin,China	Amargo	SS
736	SD225	II	Jilin,China	PA 1	PA
737	Jindan35M	I	Shanxi,China	Lancaster 2	NSS
738	Jin0-3	I	Shanxi,China	SPT 2	SPT
739	Changdan35F	I	Shanxi,China	Lancaster 2	NSS
740	206-305	II	Shanxi,China	1odent	Iodent
741	H10-105	II	Shanxi,China	Amargo	SS
742	H02-86	I	Shanxi,China	Admix	Admix
743	H02-18	I	Shanxi,China	Lancaster 2	NSS
744	Tai160-2	I	Shanxi,China	Admix	Admix
745	Si-144Gai	I	Jilin,China	Lancaster 1	NSS
746	H9-21Gai	I	Shanxi,China	Lancaster 2	NSS
747	Yunxi98-40	I	Shanxi,China	PA 1	PA
748	X8531	II	Shanxi,China	PA 1	PA
749	CH7-2-1	II	Shanxi,China	Admix	Admix
750	WX511	II	Shanxi,China	PB	PB
751	X232	II	Shanxi,China	SPT 2	SPT
752	Ds-12a	II	Shanxi,China	PB	PB
753	TD5937	II	Shanxi,China	Admix	Admix
754	X901	I	Beijing,China	PB	PB
755	Jinyu811F	I	Beijing,China	SPT 1	SPT
756	L5895	II	Hebei,China	PA 2	PA
757	Lianhe2M	I	Hebei,China	Admix	Admix
758	Lianhe2F	I	Hebei,China	Admix	Admix
759	Hai268	I	Heilongjiang,China	Lancaster 1	NSS
760	Tai961	I	Shanxi,China	Admix	Admix
761	H06-136	II	Shanxi,China	Admix	Admix
762	H06-71	II	Shanxi,China	PB	PB
763	WK12-2	I	Shanxi,China	SPT 1	SPT
764	X35-1	I	Shanxi,China	PA 1	PA
765	BR27	I	Shanxi,China	Lancaster 1	NSS
766	178-1	I	Shanxi,China	PA 1	PA
767	W314	I	Shanxi,China	Admix	Admix
768	Chong198	I	Shanxi,China	PA 1	PA
769	X48B	I	Shanxi,China	PA 1	PA
770	T17-2	I	Shanxi,China	Admix	Admix
771	C822	I	Shanxi,China	SPT 1	SPT
772	Xia178	I	Shanxi,China	PB	PB
773	Yunxi98-3	II	Shanxi,China	Admix	Admix
774	Yunxi02-13	II	Shanxi,China	Amargo	SS
775	ChangB100	I	Shanxi,China	PB	PB
776	Bihai58M	II	Hebei,China	PB	PB
777	Bihai58F	II	Hebei,China	SPT 1	SPT
778	Dinghai5M	II	Hebei,China	PB	PB
779	Dinghai5F	II	Hebei,China	SPT 1	SPT
780	Tongzao4M	I	Shanxi,China	Zi330	NSS
781	T276	II	Shanxi,China	PB	PB
782	16TW621	II	Shanxi,China	Admix	Admix
783	16TW632	II	Shanxi,China	Admix	Admix
784	TE235-D1m	II	Shanxi,China	1odent	Iodent
785	TS44	II	Shanxi,China	Amargo	SS
786	TZ243-B6F	II	Shanxi,China	SPT 1	SPT
787	TZ250	II	Shanxi,China	Lancaster 2	NSS
788	XF38P05F	II	USA	Amargo	SS
789	16B212-2	II	Sichuan,China	Admix	Admix
790	16B267	II	Sichuan,China	Amargo	SS
791	16B386-5	II	Sichuan,China	Admix	Admix
792	16Y673-7	II	Sichuan,China	PB	PB
793	16Y685-6	II	Sichuan,China	PB	PB
794	Mian983	II	Sichuan,China	Admix	Admix
795	SCML205	II	Sichuan,China	PA 1	PA
796	Y3052	II	Sichuan,China	Admix	Admix
797	Y9614	II	Sichuan,China	Admix	Admix
798	Yu1193	II	Sichuan,China	Admix	Admix
799	Yu8954	II	Sichuan,China	PA 1	PA
800	Y1603	II	Sichuan,China	Amargo	SS
801	Y1605	II	Sichuan,China	Admix	Admix
802	Y1630	II	Sichuan,China	Admix	Admix
803	Y1631	II	Sichuan,China	Admix	Admix
804	Y1632	II	Sichuan,China	PA 1	PA
805	Y1640	II	Sichuan,China	Admix	Admix
806	Y1642	II	Sichuan,China	Admix	Admix
807	Y1649	II	Sichuan,China	Amargo	SS
808	Y1665	II	Sichuan,China	PB	PB
809	Y1674	II	Sichuan,China	Admix	Admix
810	Y1675	II	Sichuan,China	Admix	Admix
811	Y1685	II	Sichuan,China	PB	PB
812	Y1687	II	Sichuan,China	Admix	Admix
813	Y1694	II	Sichuan,China	Admix	Admix
814	Y1695	II	Sichuan,China	Admix	Admix
815	Y1696	II	Sichuan,China	Admix	Admix
816	Y1697	II	Sichuan,China	Admix	Admix
817	Y1699	II	Sichuan,China	Admix	Admix
818	Y1701	II	Sichuan,China	Admix	Admix
819	Y1703	II	Sichuan,China	Amargo	SS
820	Y1704	II	Sichuan,China	Amargo	SS
821	Y1705	II	Sichuan,China	1odent	Iodent
822	Y1706	II	Sichuan,China	1odent	Iodent
823	Y1708	II	Sichuan,China	Amargo	SS
824	Y1710	II	Sichuan,China	1odent	Iodent
825	Y1711	II	Sichuan,China	Admix	Admix
826	Y1714	II	Sichuan,China	1odent	Iodent
827	Y1715	II	Sichuan,China	Admix	Admix
828	Y1741	II	Sichuan,China	Admix	Admix
829	Y1745	II	Sichuan,China	Admix	Admix
830	Y1747	II	Sichuan,China	Amargo	SS
831	Y1751	II	Sichuan,China	Amargo	SS
832	Y1753	II	Sichuan,China	Amargo	SS
833	Y1754	II	Sichuan,China	Amargo	SS
834	Y1755	II	Sichuan,China	Amargo	SS
835	Y1756	II	Sichuan,China	Amargo	SS
836	Y1757	II	Sichuan,China	Amargo	SS
837	Y1758	II	Sichuan,China	Amargo	SS
838	Y1775	II	Sichuan,China	PB	PB
839	485	II	Shaanxi,China	PA 2	PA
840	M340x	II	Shaanxi,China	Zi330	NSS
841	487	II	Shaanxi,China	Amargo	SS
842	T0403	II	Liaoning,China	SPT 1	SPT
843	489	II	Yunnan,China	Lancaster 2	NSS
844	5429	II	Shaanxi,China	Amargo	SS
845	50073	II	Shaanxi,China	Amargo	SS
846	5435	II	Shaanxi,China	Amargo	SS
847	5503	II	Shaanxi,China	Admix	Admix
848	5544	II	Shaanxi,China	Admix	Admix
849	5660	II	Shaanxi,China	Amargo	SS
850	5661	II	Shaanxi,China	1odent	Iodent
851	40763	II	Shaanxi,China	Amargo	SS
852	50014	II	Shaanxi,China	PA 1	PA
853	50043	II	Shaanxi,China	Amargo	SS
854	50040	II	Shaanxi,China	Amargo	SS
855	50035	II	Shaanxi,China	Amargo	SS
856	5514	II	Shaanxi,China	Amargo	SS
857	50034	II	Shaanxi,China	Amargo	SS
858	50031	II	Shaanxi,China	Amargo	SS
859	41006	II	Shaanxi,China	SPT 2	SPT
860	5431	II	Shaanxi,China	Amargo	SS
861	50005	II	Shaanxi,China	Amargo	SS
862	238	II	Shaanxi,China	Admix	Admix
863	241	II	Shaanxi,China	BSSS	SS
864	242	II	Shaanxi,China	Admix	Admix
865	244	II	Gansu,China	BSSS	SS
866	250	II	Gansu,China	BSSS	SS
867	267	II	Gansu,China	BSSS	SS
868	271	II	Gansu,China	BSSS	SS
869	F70	II	Liaoning,China	Zi330	NSS
870	LFY488	II	Gansu,China	PA 1	PA
871	Tx149	II	Gansu,China	SPT 2	SPT
872	Z021E0180	Unknown	USA	BSSS	SS
873	8723	I	Hebei,China	Admix	Admix
874	Hua94	I	Jilin,China	Lancaster 2	NSS
875	Tie133	I	Jilin,China	Lancaster 2	NSS
876	Mo17Ht	I	Liaoning,China	Lancaster 1	NSS
877	Daqiu36	I	Liaoning,China	Admix	Admix
878	M14	I	USA	Admix	Admix
879	Yuanwu02	I	Shandong,China	Lancaster 2	NSS
880	Yang	I	Shandong,China	Lancaster 2	NSS
881	Wu109	I	Shaanxi,China	Lancaster 2	NSS
882	Wu105	I	Shaanxi,China	Lancaster 2	NSS
883	Dan598	I	Liaoning,China	Lancaster 2	NSS
884	A801	I	Liaoning,China	PA 1	PA
885	NN14B	I	USA	Lancaster 2	NSS
886	Song1145	I	Beijing,China	PB	PB
887	Zao49	I	Beijing,China	Lancaster 2	NSS
888	Zhonghuang64	I	Beijing,China	Admix	Admix
889	CN165	I	Beijing,China	Lancaster 2	NSS
890	HR962	I	Beijing,China	SPT 1	SPT
891	DaMO	I	Beijing,China	Lancaster 1	NSS
892	Guangyou5	I	Beijing,China	Lancaster 2	NSS
893	Jingruo2	I	Beijing,China	Lancaster 2	NSS
894	M3736	I	Beijing,China	Lancaster 2	NSS
895	Meibao	I	Beijing,China	Lancaster 2	NSS
896	Yi12	I	Beijing,China	Admix	Admix
897	Yi49	I	Beijing,China	Lancaster 2	NSS
898	Zhong128	I	Beijing,China	Lancaster 2	NSS
899	Zhong741	I	Beijing,China	Admix	Admix
900	Zhongxi042	I	Beijing,China	Lancaster 2	NSS
901	Ziyu3	I	Beijing,China	Lancaster 2	NSS
902	Zong31	I	Beijing,China	Zi330	NSS
903	18	Unknown	China	Lancaster 2	NSS
904	Cai11-8	I	Sichuan,China	Zi330	NSS
905	фев.48	I	Sichuan,China	Zi330	NSS
906	Zongxi241	I	Sichuan,China	PB	PB
907	O30-1	I	Sichuan,China	Admix	Admix
908	75-14Gao	I	Sichuan,China	SPT 1	SPT
909	Cai48-1111	I	Sichuan,China	Lancaster 2	NSS
910	Qiu23	I	Sichuan,China	Lancaster 2	NSS
911	Yunnan9-6	I	Sichuan,China	Lancaster 2	NSS
912	Zong548-1521	I	Sichuan,China	PB	PB
913	Timpunia-1	Unknown	Germany	Lancaster 2	NSS
914	F522	Unknown	France	Amargo	SS
915	GR29086-3	Unknown	France	Lancaster 2	NSS
916	Yan38	I	Fujian,China	Lancaster 2	NSS
917	Yan103	I	Fujian,China	Lancaster 2	NSS
918	Yan11	I	Fujian,China	Lancaster 2	NSS
919	Yan85	I	Fujian,China	Lancaster 2	NSS
920	Jiu138-5	I	Gansu,China	Zi330	NSS
921	55113-3-3-5	I	Gansu,China	Lancaster 2	NSS
922	Feng263	I	Gansu,China	Lancaster 2	NSS
923	Feng273	I	Gansu,China	Lancaster 2	NSS
924	Gan41	I	Gansu,China	Lancaster 2	NSS
925	Lan766-4-2	I	Gansu,China	Lancaster 2	NSS
926	Wei3322	I	Gansu,China	Lancaster 2	NSS
927	M9	I	Guangxi,China	Admix	Admix
928	Da255	I	Jilin,China	Lancaster 2	NSS
929	Qin8-22-1	I	Guangxi,China	Admix	Admix
930	ShuangM9B-1	I	Guangxi,China	PB	PB
931	Yue20-3	I	Guangzhou,China	Zi330	NSS
932	Yue267-1-1	I	Guangzhou,China	Lancaster 2	NSS
933	Yue267-3-1	I	Guangzhou,China	Lancaster 2	NSS
934	Yue39-4	I	Guangzhou,China	Lancaster 2	NSS
935	Yue89A12-1	I	Guangzhou,China	Lancaster 2	NSS
936	Chengbei711	I	Hebei,China	Lancaster 2	NSS
937	79028	I	Hebei,China	Lancaster 2	NSS
938	Cheng435	I	Hebei,China	BSSS	SS
939	D729	I	Hebei,China	Lancaster 2	NSS
940	K36	I	Hebei,China	Admix	Admix
941	Cheng18	I	Hebei,China	Lancaster 2	NSS
942	F516	I	Hebei,China	Lancaster 2	NSS
943	H2	I	Hebei,China	Admix	Admix
944	Han102	I	Hebei,China	Lancaster 2	NSS
945	Ji432	I	Hebei,China	Lancaster 2	NSS
946	Jitian15	I	Hebei,China	Lancaster 2	NSS
947	Xing26	I	Hebei,China	Lancaster 2	NSS
948	Zhangjin6	I	Hebei,China	Lancaster 2	NSS
949	Zhangxi28	I	Hebei,China	Admix	Admix
950	Zhangxi913	I	Hebei,China	Lancaster 2	NSS
951	Zun90110	I	Hebei,China	PB	PB
952	Guan17-1	I	Henan,China	Lancaster 1	NSS
953	Ernan24	I	Henan,China	Lancaster 2	NSS
954	Zhengbai11	I	Henan,China	Lancaster 2	NSS
955	BaiU8112	I	Henan,China	Admix	Admix
956	Wutang448	I	Henan,China	Lancaster 2	NSS
957	Fu844	I	Heilongjiang,China	Lancaster 2	NSS
958	Fu8521	I	Heilongjiang,China	Lancaster 2	NSS
959	Fu8529	I	Heilongjiang,China	Lancaster 2	NSS
960	Fu8538	I	Heilongjiang,China	Lancaster 2	NSS
961	Fu8701	I	Heilongjiang,China	Admix	Admix
962	Longkang1	I	Heilongjiang,China	Admix	Admix
963	Longkang15	I	Heilongjiang,China	Lancaster 2	NSS
964	Longkang279	I	Heilongjiang,China	Lancaster 2	NSS
965	RC103Luo31B	I	Heilongjiang,China	Lancaster 2	NSS
966	Shuangtaiwu	I	Hubei,China	Lancaster 2	NSS
967	112-O2	I	Hunan,China	Zi330	NSS
968	75-24	I	Hunan,China	Lancaster 2	NSS
969	Zhonger-O2	I	Hunan,China	PA 1	PA
970	D801	I	Jilin,China	Admix	Admix
971	L105	I	Jilin,China	Lancaster 2	NSS
972	96201	I	Jilin,China	Admix	Admix
973	Ji833	I	Jilin,China	Lancaster 2	NSS
974	Ji870	I	Jilin,China	Admix	Admix
975	Ji876	I	Jilin,China	Zi330	NSS
976	Ji880	I	Jilin,China	Lancaster 2	NSS
977	Jiu03	I	Jilin,China	Lancaster 2	NSS
978	Jiu22	I	Jilin,China	Lancaster 2	NSS
979	CG10	Unknown	Canada	Lancaster 2	NSS
980	87-2O	I	Jiangsu,China	Lancaster 2	NSS
981	Danhuang02	I	Liaoning,China	Lancaster 2	NSS
982	B12	I	USA	Lancaster 2	NSS
983	Baihe43	I	Liaoning,China	Lancaster 2	NSS
984	Chaoxianbai	I	Liaoning,China	Lancaster 2	NSS
985	Dan3101	I	Liaoning,China	Admix	Admix
986	Dan3115	I	Liaoning,China	Lancaster 2	NSS
987	Dan3116	I	Liaoning,China	Lancaster 2	NSS
988	Fu85	I	Liaoning,China	Admix	Admix
989	Fu96	I	Liaoning,China	Lancaster 2	NSS
990	Jiao05	I	Liaoning,China	Lancaster 2	NSS
991	Liao2202	I	Liaoning,China	Admix	Admix
992	Liao2204	I	Liaoning,China	Admix	Admix
993	Liao5110	I	Liaoning,China	PA 1	PA
994	Liao7794	I	Liaoning,China	PA 1	PA
995	Shen135	I	Liaoning,China	PB	PB
996	Tie222	I	Liaoning,China	Admix	Admix
997	Lv9kuan	I	Liaoning,China	Lancaster 2	NSS
998	GB	I	Hebei,China	Lancaster 2	NSS
999	A495	I	USA	Lancaster 2	NSS
1000	A509	I	USA	Lancaster 2	NSS
1001	A632	I	USA	Amargo	SS
1002	CML61	Unknown	Mexico	Lancaster 2	NSS
1003	CML67	Unknown	Mexico	Lancaster 2	NSS
1004	De811	I	USA	Amargo	SS
1005	FR218	I	USA	BSSS	SS
1006	P39-su	I	USA	Lancaster 2	NSS
1007	P51	I	USA	Lancaster 2	NSS
1008	Pa405	I	USA	Lancaster 2	NSS
1009	Va35	I	USA	Lancaster 2	NSS
1010	W6786-su	I	USA	Lancaster 2	NSS
1011	Za5125-su	I	USA	Lancaster 2	NSS
1012	CML125-2-ma	Unknown	Mexico	Lancaster 2	NSS
1013	CML58M	Unknown	Mexico	SPT 2	SPT
1014	M256	I	USA	Lancaster 2	NSS
1015	BC19	Unknown	USA	Admix	Admix
1016	H66-6	Unknown	USA	Lancaster 2	NSS
1017	785	I	Inner Mongolia,China	Admix	Admix
1018	85Bai41	I	Inner Mongolia,China	Lancaster 2	NSS
1019	85Bai64	I	Inner Mongolia,China	Lancaster 2	NSS
1020	85Huang14	I	Inner Mongolia,China	Lancaster 2	NSS
1021	91Huang10	I	Inner Mongolia,China	Lancaster 2	NSS
1022	91Huang15	I	Inner Mongolia,China	Lancaster 2	NSS
1023	91Huang5	I	Inner Mongolia,China	Zi330	NSS
1024	92Huang40	I	Inner Mongolia,China	Admix	Admix
1025	92Huang7	I	Inner Mongolia,China	Lancaster 2	NSS
1026	Chi545	I	Inner Mongolia,China	Lancaster 2	NSS
1027	Chihuang14	I	Inner Mongolia,China	Lancaster 2	NSS
1028	Chihuang32	I	Inner Mongolia,China	Lancaster 2	NSS
1029	Xing83	I	Inner Mongolia,China	Lancaster 2	NSS
1030	Zhebai1	I	Inner Mongolia,China	Lancaster 2	NSS
1031	MP704	I	China	Admix	Admix
1032	Ning36	I	Ningxia,China	Zi330	NSS
1033	Ning37	I	Ningxia,China	Lancaster 2	NSS
1034	Ning45	I	Ningxia,China	Lancaster 2	NSS
1035	Zhongyin10	Unknown	China	Admix	Admix
1036	Qi318	I	Shandong,China	PB	PB
1037	Qi35	I	Shandong,China	Lancaster 1	NSS
1038	1029	I	Shandong,China	Lancaster 2	NSS
1039	H21	I	Shandong,China	SPT 1	SPT
1040	Luyuan133	I	Shandong,China	SPT 1	SPT
1041	Shuang105	I	Shandong,China	Lancaster 2	NSS
1042	488	I	Shandong,China	PA 1	PA
1043	200-24-13413	I	Shandong,China	Lancaster 2	NSS
1044	Huangjin63	I	Shandong,China	Lancaster 2	NSS
1045	Qi410	I	Shandong,China	Lancaster 2	NSS
1046	Tai184	I	Shanxi,China	Lancaster 2	NSS
1047	84-126-15-1	I	Shanxi,China	Zi330	NSS
1048	Tai1-Lg	I	Shanxi,China	Lancaster 1	NSS
1049	VG85-5	I	Shanxi,China	Admix	Admix
1050	Xilun5-9	I	Shanxi,China	Zi330	NSS
1051	Xuan6	I	Shanxi,China	Lancaster 2	NSS
1052	Ziduosui	I	Shanxi,China	Lancaster 2	NSS
1053	Wu125	I	Shaanxi,China	PB	PB
1054	Wu308	I	Shaanxi,China	Lancaster 2	NSS
1055	Wu302	I	Shaanxi,China	Lancaster 2	NSS
