ID	Accession	Run title	BioProject accession	Experiment accession	Run data file type	File name 1	MD5 checksum 1	DownLoad1	File name 2	MD5 checksum 2	DownLoad2	Reference file name	MD5 for reference file	Assembly Name or Accession	Assembly Accession URL	other_db	accession_in_other_db	other_db_url
15	CRR504168	A554	PRJCA009749	CRX444574	fastq	CRR504168_f1.fq.gz (2703267382 bytes)	61bb5f76108b97e5b90f54cce0049e39	ftp://download.big.ac.cn/gsa/CRA007020/CRR504168/CRR504168_f1.fq.gz	CRR504168_r2.fq.gz (2878910158 bytes)	9010954236677b766a692425d4d7a2d7	ftp://download.big.ac.cn/gsa/CRA007020/CRR504168/CRR504168_r2.fq.gz							
16	CRR504169	Yu537A	PRJCA009749	CRX444575	fastq	CRR504169_f1.fq.gz (2620951166 bytes)	6e02de8456a8e1654069bcf5af9aac82	ftp://download.big.ac.cn/gsa/CRA007020/CRR504169/CRR504169_f1.fq.gz	CRR504169_r2.fq.gz (2813491667 bytes)	5f4ecebf0e4bea2c23568543857b9f68	ftp://download.big.ac.cn/gsa/CRA007020/CRR504169/CRR504169_r2.fq.gz							
17	CRR504170	CT52C	PRJCA009749	CRX444576	fastq	CRR504170_f1.fq.gz (3265916393 bytes)	9cbc9e26e1873996b4ff465b6238b746	ftp://download.big.ac.cn/gsa/CRA007020/CRR504170/CRR504170_f1.fq.gz	CRR504170_r2.fq.gz (3434993635 bytes)	412cf148daa042a80bb3944de4d6d610	ftp://download.big.ac.cn/gsa/CRA007020/CRR504170/CRR504170_r2.fq.gz							
18	CRR504171	Ji477	PRJCA009749	CRX444577	fastq	CRR504171_f1.fq.gz (2826171898 bytes)	f61f12d2b0a49fcebdf6dc23a3ebe1ac	ftp://download.big.ac.cn/gsa/CRA007020/CRR504171/CRR504171_f1.fq.gz	CRR504171_r2.fq.gz (3020965609 bytes)	1eda354d52c010a41696629f8318f77b	ftp://download.big.ac.cn/gsa/CRA007020/CRR504171/CRR504171_r2.fq.gz							
19	CRR504172	Longxi65	PRJCA009749	CRX444578	fastq	CRR504172_f1.fq.gz (3613468995 bytes)	6783f130a56e2bcdb52d9bbb23807540	ftp://download.big.ac.cn/gsa/CRA007020/CRR504172/CRR504172_f1.fq.gz	CRR504172_r2.fq.gz (3895623084 bytes)	79a781eb7cd51c136ed9ed29c7055416	ftp://download.big.ac.cn/gsa/CRA007020/CRR504172/CRR504172_r2.fq.gz							
20	CRR504173	Shen125	PRJCA009749	CRX444579	fastq	CRR504173_f1.fq.gz (3109603792 bytes)	7a85f7f15ecdc227a5cd6cf4490936d6	ftp://download.big.ac.cn/gsa/CRA007020/CRR504173/CRR504173_f1.fq.gz	CRR504173_r2.fq.gz (3307071591 bytes)	69cd4920e653dfaccdeb777c77b15635	ftp://download.big.ac.cn/gsa/CRA007020/CRR504173/CRR504173_r2.fq.gz							
21	CRR504174	Hai9818	PRJCA009749	CRX444580	fastq	CRR504174_f1.fq.gz (3521001506 bytes)	f6401ab3e149640a7d0c4af420d8a377	ftp://download.big.ac.cn/gsa/CRA007020/CRR504174/CRR504174_f1.fq.gz	CRR504174_r2.fq.gz (3774974803 bytes)	530aa34f6123dfe022e60022dec3a156	ftp://download.big.ac.cn/gsa/CRA007020/CRR504174/CRR504174_r2.fq.gz							
22	CRR504175	FLQ2Bt	PRJCA009749	CRX444581	fastq	CRR504175_f1.fq.gz (2811460484 bytes)	c168c636aca6e21ee4566ea71f63b99b	ftp://download.big.ac.cn/gsa/CRA007020/CRR504175/CRR504175_f1.fq.gz	CRR504175_r2.fq.gz (2956176072 bytes)	7d0f56135ee1760d4303be9cd6081177	ftp://download.big.ac.cn/gsa/CRA007020/CRR504175/CRR504175_r2.fq.gz							
23	CRR504176	H153	PRJCA009749	CRX444582	fastq	CRR504176_f1.fq.gz (2849571240 bytes)	beec45bceeba6b8d168123e4908d312a	ftp://download.big.ac.cn/gsa/CRA007020/CRR504176/CRR504176_f1.fq.gz	CRR504176_r2.fq.gz (3040468789 bytes)	420a4223f08208a17f98a450ae467ed3	ftp://download.big.ac.cn/gsa/CRA007020/CRR504176/CRR504176_r2.fq.gz							
24	CRR504177	CM105	PRJCA009749	CRX444583	fastq	CRR504177_f1.fq.gz (2912764473 bytes)	0f0e3aacf8bb33811d1454310d3ccbdf	ftp://download.big.ac.cn/gsa/CRA007020/CRR504177/CRR504177_f1.fq.gz	CRR504177_r2.fq.gz (3081545055 bytes)	f1cfcf5b8a33adf17cd118c28fbbc293	ftp://download.big.ac.cn/gsa/CRA007020/CRR504177/CRR504177_r2.fq.gz							
25	CRR504178	Liao4271	PRJCA009749	CRX444584	fastq	CRR504178_f1.fq.gz (2962987311 bytes)	8a57ea008f7e4cf7559f4de4f3555752	ftp://download.big.ac.cn/gsa/CRA007020/CRR504178/CRR504178_f1.fq.gz	CRR504178_r2.fq.gz (3131009362 bytes)	8ead3cc902538a0faa2f1507b5a93489	ftp://download.big.ac.cn/gsa/CRA007020/CRR504178/CRR504178_r2.fq.gz							
26	CRR504179	107	PRJCA009749	CRX444585	fastq	CRR504179_f1.fq.gz (2871444586 bytes)	5834e1eae2979e7d76d8be78aea0516f	ftp://download.big.ac.cn/gsa/CRA007020/CRR504179/CRR504179_f1.fq.gz	CRR504179_r2.fq.gz (3044637394 bytes)	22348d5e0f39ee04489d6402b1accf08	ftp://download.big.ac.cn/gsa/CRA007020/CRR504179/CRR504179_r2.fq.gz							
